Província,Código de Província,Distrito,Código de Distrito,Posto administrativo,Código de Posto Administrativo,CEP
Cabo Delgado,10,Mueda,15,Chapa,01,1015-01
Cabo Delgado,10,Mueda,15,Imbuo,02,1015-02
Cabo Delgado,10,Mueda,15,Mueda (Sede),03,1015-03
Cabo Delgado,10,Mueda,15,Negomano,04,1015-04
Cabo Delgado,10,Mueda,15,N'gapa,05,1015-05
Cabo Delgado,10,Palma,16,Olumbi,01,1016-01
Cabo Delgado,10,Palma,16,Palma (Sede),02,1016-02
Cabo Delgado,10,Palma,16,Pundanhar,03,1016-03
Cabo Delgado,10,Palma,16,Quionga,04,1016-04
Cabo Delgado,10,Nangade,17,Nangade (Sede),01,1017-01
Cabo Delgado,10,Nangade,17,M'tamba,02,1017-02
Niassa,11,Cuamba,01,Cuamba (Sede),01,1101-01
Niassa,11,Cuamba,01,Etatara,02,1101-02
Niassa,11,Cuamba,01,Lúrio,03,1101-03
Niassa,11,Mecanhelas,02,Chiúta,01,1102-01
Niassa,11,Mecanhelas,02,Insaca (Sede),02,1102-02
Niassa,11,Metarica,03,Metarica (Sede),01,1103-01
Niassa,11,Metarica,03,Nacumua,02,1103-02
Niassa,11,Mandimba,04,Mandimba (Sede),01,1104-01
Niassa,11,Mandimba,04,Mitande,02,1104-02
Niassa,11,Nipepe,05,Muipite,01,1105-01
Niassa,11,Nipepe,05,Nipepe (Sede),02,1105-02
Niassa,11,Maúa,06,Maiaca,01,1106-01
Niassa,11,Maúa,06,Maúa (Sede),02,1106-02
Niassa,11,Marrupa,07,Marangira,01,1107-01
Niassa,11,Marrupa,07,Marrupa (Sede),02,1107-02
Niassa,11,Marrupa,07,Nungo,03,1107-03
Niassa,11,Majune,08,Malanga (Sede),01,1108-01
Niassa,11,Majune,08,Muaquia,02,1108-02
Niassa,11,Majune,08,Nairubi,03,1108-03
Niassa,11,Ngaúma,09,Itepela,01,1109-01
Niassa,11,Ngaúma,09,Massangulo (Sede),02,1109-02
Niassa,11,Chimbunila,10,Chimbunila (Sede),01,1110-01
Niassa,11,Chimbunila,10,Lione,02,1110-02
Niassa,11,Lichinga,11,Lichinga (Sede),01,1111-01
Niassa,11,Lichinga,11,Meponda,02,1111-02
Niassa,11,Mecula,12,Matondovela,01,1112-01
Niassa,11,Mecula,12,Mecula (Sede),02,1112-02
Niassa,11,Mavago,13,Mavago (Sede),01,1113-01
Niassa,11,Mavago,13,M'Sawize,02,1113-02
Niassa,11,Muembe,14,Chiconono,01,1114-01
Niassa,11,Muembe,14,Muembe (Sede),02,1114-02
Niassa,11,Sanga,15,Lussimbesse,01,1115-01
Niassa,11,Sanga,15,Macaloge,02,1115-02
Niassa,11,Sanga,15,Matchedje,03,1115-03
Niassa,11,Sanga,15,Unango (Sede),04,1115-04
Niassa,11,Lago,16,Cóbuè,01,1116-01
Niassa,11,Lago,16,Lunho,02,1116-02
Niassa,11,Lago,16,Maniamba,03,1116-03
Niassa,11,Lago,16,Metangula (Sede),04,1116-04
